Duration,PhoneNumber,Subscriber Identity Number,Activity,Error Code
2.0,1654788999,345278656547333,Phone Call,
0.0,1888777222,345278666547334,SMS,
10.0,1122765445,345278676547335,Internet Data,
1.0,1356753668,345278686547336,Phone Call,111
2.0,1590741891,345278696547337,Phone Call,111
3.0,1824730114,345278706547338,Phone Call,111
4.0,1058718337,345278716547339,Phone Call,111
5.0,1292706560,345278726547340,Phone Call,
12.0,1526694783,345278736547341,Phone Call,
11.0,1526694784,345278746547342,Phone Call,
10.0,1526694785,345278756547343,Phone Call,
2.0,1526694786,345278766547344,Phone Call,
22.0,1526694787,345278776547345,Phone Call,
25.0,1526694788,345278786547346,Phone Call,
1.0,1526694789,345278796547347,Phone Call,
3.0,1526694790,345278806547348,Phone Call,
4.0,1526694791,345278816547349,Phone Call,
5.0,1526694792,345278826547350,Phone Call,
8.0,1526694793,345278836547351,Phone Call,
7.0,1526694794,345278846547352,Phone Call,
9.0,1526694795,345278856547353,Phone Call,
10.0,1526694796,345278866547354,Phone Call,
11.0,1526694797,345278876547355,Phone Call,
3.0,1526694798,345278886547356,Phone Call,111
3.0,1526694799,345278896547357,Phone Call,111
3.0,1526694800,345278906547358,Phone Call,111
3.0,1526694801,345278916547359,Phone Call,111
3.6,1526694802,345278926547360,Phone Call,
3.5,1526694803,345278936547361,Phone Call,
3.2,1526694804,345278946547362,Phone Call,
3.1,1526694805,345278956547363,Phone Call,
4.2,1526694806,345278966547364,Phone Call,
4.3,1526694807,345278976547365,Phone Call,
4.5,1526694808,345278986547366,Phone Call,
2.0,1526694809,345278996547367,Phone Call,
3.0,1526694810,345279006547368,Phone Call,
10.0,1526694811,345279016547369,Internet Data,
15.0,1526694812,345279026547370,Internet Data,
15.0,1526694813,345279036547371,Internet Data,
18.0,1526694814,345279046547372,Internet Data,
1.0,1526694815,345279056547373,Internet Data,222
13.0,1526694816,345279066547374,Internet Data,
11.0,1526694817,345279076547375,Internet Data,
1.0,1526694818,345279086547376,Internet Data,222
15.0,1526694819,345279096547377,Internet Data,
55.0,1526694820,345279106547378,Internet Data,
120.0,1526694821,345279116547379,Internet Data,
14.0,1526694822,345279126547380,Internet Data,
13.0,1526694823,345279136547381,Internet Data,222
10.0,1526694824,345279146547382,Internet Data,
14.0,1526694825,345279156547383,Internet Data,
13.0,1526694826,345279166547384,Internet Data,
10.0,1526694827,345279176547385,Internet Data,
14.0,1526694828,345279186547386,Internet Data,
13.0,1526694829,345279196547387,Internet Data,
10.0,1526694830,345279206547388,Internet Data,
14.0,1526694831,345279216547389,Internet Data,
13.0,1526694832,345279226547390,Internet Data,
10.0,1526694833,345279236547391,Internet Data,
14.0,1526694834,345279246547392,Internet Data,
13.0,1526694835,345279256547393,Internet Data,
10.0,1526694836,345279266547394,Internet Data,
14.0,1526694837,345279276547395,Internet Data,
13.0,1526694838,345279286547396,Internet Data,
10.0,1526694839,345279296547397,Internet Data,
14.0,1526694840,345279306547398,Internet Data,
13.0,1526694841,345279316547399,Internet Data,
10.0,1526694842,345279326547400,Internet Data,
14.0,1526694843,345279336547401,Internet Data,
13.0,1526694844,345279346547402,Internet Data,
1.0,1526694845,345279356547403,SMS,
1.0,1526694846,345279366547404,SMS,
1.0,1526694847,345279376547405,SMS,
1.0,1526694848,345279386547406,SMS,
1.0,1526694849,345279396547407,SMS,
1.0,1526694850,345279406547408,SMS,
1.0,1526694851,345279416547409,SMS,
1.0,1526694852,345279426547410,SMS,
1.0,1526694853,345279436547411,SMS,
1.0,1526694854,345279446547412,SMS,
1.0,1526694855,345279456547413,SMS,
1.0,1526694856,345279466547414,SMS,
1.0,1526694857,345279476547415,SMS,
1.0,1526694858,345279486547416,SMS,
1.0,1526694859,345279496547417,SMS,
1.0,1526694860,345279506547418,SMS,
1.0,1526694861,345279516547419,SMS,
1.0,1526694862,345279526547420,SMS,
1.0,1526694863,345279536547421,SMS,
1.0,1526694864,345279546547422,SMS,
1.0,1526694865,345279556547423,SMS,
1.0,1526694866,345279566547424,SMS,
1.0,1526694867,345279576547425,SMS,
1.0,1526694868,345279586547426,SMS,
1.0,1526694869,345279596547427,SMS,
1.0,1526694870,345279606547428,SMS,
1.0,1526694871,345279616547429,SMS,
1.0,1526694872,345279626547430,SMS,
1.0,1526694873,345279636547431,SMS,
1.0,1526694874,345279646547432,SMS,
2.0,1526694875,345279656547433,Phone Call,
0.0,1526694876,345279666547434,SMS,
10.0,1526694877,345279676547435,Internet Data,
1.0,1526694878,345279686547436,Phone Call,111
2.0,1526694879,345279696547437,Phone Call,111
3.0,1526694880,345279706547438,Phone Call,111
4.0,1526694881,345279716547439,Phone Call,111
5.0,1526694882,345279726547440,Phone Call,111
12.0,1526694883,345279736547441,Phone Call,
11.0,1526694884,345279746547442,Phone Call,
10.0,1526694885,345279756547443,Phone Call,
2.0,1526694886,345279766547444,Phone Call,
22.0,1526694887,345279776547445,Phone Call,
25.0,1526694888,345279786547446,Phone Call,
1.0,1526694889,345279796547447,Phone Call,
3.0,1526694890,345279806547448,Phone Call,
4.0,1526694891,345279816547449,Phone Call,
5.0,1526694892,345279826547450,Phone Call,
8.0,1526694893,345279836547451,Phone Call,
7.0,1526694894,345279846547452,Phone Call,
9.0,1526694895,345279856547453,Phone Call,
10.0,1526694896,345279866547454,Phone Call,
11.0,1526694897,345279876547455,Phone Call,
3.0,1526694898,345279886547456,Phone Call,111
3.0,1526694899,345279896547457,Phone Call,
3.0,1526694900,345279906547458,Phone Call,111
3.0,1526694901,345279916547459,Phone Call,
3.6,1526694902,345279926547460,Phone Call,
3.5,1526694903,345279936547461,Phone Call,
3.2,1526694904,345279946547462,Phone Call,
3.1,1526694905,345279956547463,Phone Call,
4.2,1526694906,345279966547464,Phone Call,
4.3,1526694907,345279976547465,Phone Call,
4.5,1526694908,345279986547466,Phone Call,
2.0,1526694909,345279996547467,Phone Call,
3.0,1526694910,345280006547468,Phone Call,
10.0,1526694911,345280016547469,Internet Data,
15.0,1526694912,345280026547470,Internet Data,
15.0,1526694913,345280036547471,Internet Data,
18.0,1526694914,345280046547472,Internet Data,
1.0,1526694915,345280056547473,Internet Data,
13.0,1526694916,345280066547474,Internet Data,
11.0,1526694917,345280076547475,Internet Data,
1.0,1526694918,345280086547476,Internet Data,
15.0,1526694919,345280096547477,Internet Data,
55.0,1526694920,345280106547478,Internet Data,
120.0,1526694921,345280116547479,Internet Data,
14.0,1526694922,345280126547480,Internet Data,
13.0,1526694923,345280136547481,Internet Data,
10.0,1526694924,345280146547482,Internet Data,
14.0,1526694925,345280156547483,Internet Data,
13.0,1526694926,345280166547484,Internet Data,
10.0,1526694927,345280176547485,Internet Data,
14.0,1526694928,345280186547486,Internet Data,
13.0,1526694929,345280196547487,Internet Data,
10.0,1526694930,345280206547488,Internet Data,
14.0,1526694931,345280216547489,Internet Data,
13.0,1526694932,345280226547490,Internet Data,
10.0,1526694933,345280236547491,Internet Data,
14.0,1526694934,345280246547492,Internet Data,
13.0,1526694935,345280256547493,Internet Data,
10.0,1526694936,345280266547494,Internet Data,
14.0,1526694937,345280276547495,Internet Data,222
13.0,1526694938,345280286547496,Internet Data,
10.0,1526694939,345280296547497,Internet Data,
14.0,1526694940,345280306547498,Internet Data,
13.0,1526694941,345280316547499,Internet Data,
10.0,1526694942,345280326547500,Internet Data,
14.0,1526694943,345280336547501,Internet Data,
13.0,1526694944,345280346547502,Internet Data,
1.0,1526694945,345280356547503,SMS,
1.0,1526694946,345280366547504,SMS,
1.0,1526694947,345280376547505,SMS,
1.0,1526694948,345280386547506,SMS,
1.0,1526694949,345280396547507,SMS,
1.0,1526694950,345280406547508,SMS,
1.0,1526694951,345280416547509,SMS,
1.0,1526694952,345280426547510,SMS,
1.0,1526694953,345280436547511,SMS,
1.0,1526694954,345280446547512,SMS,
1.0,1526694955,345280456547513,SMS,
1.0,1526694956,345280466547514,SMS,
1.0,1526694957,345280476547515,SMS,
1.0,1526694958,345280486547516,SMS,
1.0,1526694959,345280496547517,SMS,
1.0,1526694960,345280506547518,SMS,
1.0,1526694961,345280516547519,SMS,
1.0,1526694962,345280526547520,SMS,
1.0,1526694963,345280536547521,SMS,
1.0,1526694964,345280546547522,SMS,
1.0,1526694965,345280556547523,SMS,
1.0,1526694966,345280566547524,SMS,
1.0,1526694967,345280576547525,SMS,
1.0,1526694968,345280586547526,SMS,
1.0,1526694969,345280596547527,SMS,
1.0,1526694970,345280606547528,SMS,
1.0,1526694971,345280616547529,SMS,
1.0,1526694972,345280626547530,SMS,
1.0,1526694973,345280636547531,SMS,
1.0,1526694974,345280646547532,SMS,
2.0,1526694975,345280656547533,Phone Call,
0.0,1526694976,345280666547534,SMS,
10.0,1526694977,345280676547535,Internet Data,
1.0,1526694978,345280686547536,Phone Call,111
2.0,1526694979,345280696547537,Phone Call,
3.0,1526694980,345280706547538,Phone Call,
4.0,1526694981,345280716547539,Phone Call,111
5.0,1526694982,345280726547540,Phone Call,
12.0,1526694983,345280736547541,Phone Call,
11.0,1526694984,345280746547542,Phone Call,
10.0,1526694985,345280756547543,Phone Call,
2.0,1526694986,345280766547544,Phone Call,
22.0,1526694987,345280776547545,Phone Call,
25.0,1526694988,345280786547546,Phone Call,
1.0,1526694989,345280796547547,Phone Call,
3.0,1526694990,345280806547548,Phone Call,
4.0,1526694991,345280816547549,Phone Call,
5.0,1526694992,345280826547550,Phone Call,
8.0,1526694993,345280836547551,Phone Call,
7.0,1526694994,345280846547552,Phone Call,
9.0,1526694995,345280856547553,Phone Call,
10.0,1526694996,345280866547554,Phone Call,
11.0,1526694997,345280876547555,Phone Call,
3.0,1526694998,345280886547556,Phone Call,
3.0,1526694999,345280896547557,Phone Call,
3.0,1526695000,345280906547558,Phone Call,
3.0,1526695001,345280916547559,Phone Call,
