PhoneNumber,Subscriber Identity Number,Duration,Activity,ErrorCode
1654788999,345278656547333,2.0,Phone Call-,0
1888777222,345278666547334,0.0,SMS-,Y
1122765445,345278676547335,10.0,Internet Data-,0
1356753668,345278686547336,1.0,Phone Call-111,0
1590741891,345278696547337,2.0,Phone Call-111,0
1824730114,345278706547338,3.0,Phone Call-111,0
1058718337,345278716547339,4.0,Phone Call-111,0
1292706560,345278726547340,5.0,Phone Call-,0
1526694783,345278736547341,12.0,Phone Call-,0
1526694784,345278746547342,11.0,Phone Call-,0
1526694785,345278756547343,10.0,Phone Call-,0
1526694786,345278766547344,2.0,Phone Call-,0
1526694787,345278776547345,22.0,Phone Call-,0
1526694788,345278786547346,25.0,Phone Call-,0
1526694789,345278796547347,1.0,Phone Call-,0
1526694790,345278806547348,3.0,Phone Call-,0
1526694791,345278816547349,4.0,Phone Call-,0
1526694792,345278826547350,5.0,Phone Call-,0
1526694793,345278836547351,8.0,Phone Call-,0
1526694794,345278846547352,7.0,Phone Call-,Y
1526694795,345278856547353,9.0,Phone Call-,0
1526694796,345278866547354,10.0,Phone Call-,0
1526694797,345278876547355,11.0,Phone Call-,0
1526694798,345278886547356,3.0,Phone Call-111,0
1526694799,345278896547357,3.0,Phone Call-111,0
1526694800,345278906547358,3.0,Phone Call-111,0
1526694801,345278916547359,3.0,Phone Call-111,0
1526694802,345278926547360,3.6,Phone Call-,0
1526694803,345278936547361,3.5,Phone Call-,0
1526694804,345278946547362,3.2,Phone Call-,0
1526694805,345278956547363,3.1,Phone Call-,0
1526694806,345278966547364,4.2,Phone Call-,0
1526694807,345278976547365,4.3,Phone Call-,0
1526694808,345278986547366,4.5,Phone Call-,0
1526694809,345278996547367,2.0,Phone Call-,0
1526694810,345279006547368,3.0,Phone Call-,0
1526694811,345279016547369,10.0,Internet Data-,0
1526694812,345279026547370,15.0,Internet Data-,0
1526694813,345279036547371,15.0,Internet Data-,0
1526694814,345279046547372,18.0,Internet Data-,0
1526694815,345279056547373,1.0,Internet Data-222,0
1526694816,345279066547374,13.0,Internet Data-,0
1526694817,345279076547375,11.0,Internet Data-,0
1526694818,345279086547376,1.0,Internet Data-222,0
1526694819,345279096547377,15.0,Internet Data-,0
1526694820,345279106547378,55.0,Internet Data-,0
1526694821,345279116547379,120.0,Internet Data-,0
1526694822,345279126547380,14.0,Internet Data-,0
1526694823,345279136547381,13.0,Internet Data-222,0
1526694824,345279146547382,10.0,Internet Data-,0
1526694825,345279156547383,14.0,Internet Data-,0
1526694826,345279166547384,13.0,Internet Data-,0
1526694827,345279176547385,10.0,Internet Data-,0
1526694828,345279186547386,14.0,Internet Data-,0
1526694829,345279196547387,13.0,Internet Data-,0
1526694830,345279206547388,10.0,Internet Data-,0
1526694831,345279216547389,14.0,Internet Data-,0
1526694832,345279226547390,13.0,Internet Data-,0
1526694833,345279236547391,10.0,Internet Data-,Y
1526694834,345279246547392,14.0,Internet Data-,0
1526694835,345279256547393,13.0,Internet Data-,0
1526694836,345279266547394,10.0,Internet Data-,0
1526694837,345279276547395,14.0,Internet Data-,0
1526694838,345279286547396,13.0,Internet Data-,0
1526694839,345279296547397,10.0,Internet Data-,0
1526694840,345279306547398,14.0,Internet Data-,0
1526694841,345279316547399,13.0,Internet Data-,0
1526694842,345279326547400,10.0,Internet Data-,0
1526694843,345279336547401,14.0,Internet Data-,0
1526694844,345279346547402,13.0,Internet Data-,0
1526694845,345279356547403,1.0,SMS-,0
1526694846,345279366547404,1.0,SMS-,0
1526694847,345279376547405,1.0,SMS-,0
1526694848,345279386547406,1.0,SMS-,0
1526694849,345279396547407,1.0,SMS-,0
1526694850,345279406547408,1.0,SMS-,0
1526694851,345279416547409,1.0,SMS-,0
1526694852,345279426547410,1.0,SMS-,0
1526694853,345279436547411,1.0,SMS-,0
1526694854,345279446547412,1.0,SMS-,0
1526694855,345279456547413,1.0,SMS-,0
1526694856,345279466547414,1.0,SMS-,0
1526694857,345279476547415,1.0,SMS-,0
1526694858,345279486547416,1.0,SMS-,0
1526694859,345279496547417,1.0,SMS-,0
1526694860,345279506547418,1.0,SMS-,0
1526694861,345279516547419,1.0,SMS-,0
1526694862,345279526547420,1.0,SMS-,Y
1526694863,345279536547421,1.0,SMS-,0
1526694864,345279546547422,1.0,SMS-,0
1526694865,345279556547423,1.0,SMS-,0
1526694866,345279566547424,1.0,SMS-,0
1526694867,345279576547425,1.0,SMS-,0
1526694868,345279586547426,1.0,SMS-,0
1526694869,345279596547427,1.0,SMS-,0
1526694870,345279606547428,1.0,SMS-,0
1526694871,345279616547429,1.0,SMS-,0
1526694872,345279626547430,1.0,SMS-,0
1526694873,345279636547431,1.0,SMS-,0
1526694874,345279646547432,1.0,SMS-,0
1526694875,345279656547433,2.0,Phone Call-,0
1526694876,345279666547434,0.0,SMS-,0
1526694877,345279676547435,10.0,Internet Data-,0
1526694878,345279686547436,1.0,Phone Call-111,0
1526694879,345279696547437,2.0,Phone Call-111,0
1526694880,345279706547438,3.0,Phone Call-111,0
1526694881,345279716547439,4.0,Phone Call-111,0
1526694882,345279726547440,5.0,Phone Call-111,0
1526694883,345279736547441,12.0,Phone Call-,0
1526694884,345279746547442,11.0,Phone Call-,0
1526694885,345279756547443,10.0,Phone Call-,0
1526694886,345279766547444,2.0,Phone Call-,Y
1526694887,345279776547445,22.0,Phone Call-,0
1526694888,345279786547446,25.0,Phone Call-,0
1526694889,345279796547447,1.0,Phone Call-,0
1526694890,345279806547448,3.0,Phone Call-,0
1526694891,345279816547449,4.0,Phone Call-,0
1526694892,345279826547450,5.0,Phone Call-,0
1526694893,345279836547451,8.0,Phone Call-,0
1526694894,345279846547452,7.0,Phone Call-,0
1526694895,345279856547453,9.0,Phone Call-,0
1526694896,345279866547454,10.0,Phone Call-,0
1526694897,345279876547455,11.0,Phone Call-,0
1526694898,345279886547456,3.0,Phone Call-111,0
1526694899,345279896547457,3.0,Phone Call-,0
1526694900,345279906547458,3.0,Phone Call-111,0
1526694901,345279916547459,3.0,Phone Call-,0
1526694902,345279926547460,3.6,Phone Call-,0
1526694903,345279936547461,3.5,Phone Call-,0
1526694904,345279946547462,3.2,Phone Call-,0
1526694905,345279956547463,3.1,Phone Call-,0
1526694906,345279966547464,4.2,Phone Call-,0
1526694907,345279976547465,4.3,Phone Call-,0
1526694908,345279986547466,4.5,Phone Call-,0
1526694909,345279996547467,2.0,Phone Call-,0
1526694910,345280006547468,3.0,Phone Call-,0
1526694911,345280016547469,10.0,Internet Data-,0
1526694912,345280026547470,15.0,Internet Data-,Y
1526694913,345280036547471,15.0,Internet Data-,0
1526694914,345280046547472,18.0,Internet Data-,0
1526694915,345280056547473,1.0,Internet Data-,0
1526694916,345280066547474,13.0,Internet Data-,0
1526694917,345280076547475,11.0,Internet Data-,0
1526694918,345280086547476,1.0,Internet Data-,0
1526694919,345280096547477,15.0,Internet Data-,0
1526694920,345280106547478,55.0,Internet Data-,0
1526694921,345280116547479,120.0,Internet Data-,0
1526694922,345280126547480,14.0,Internet Data-,0
1526694923,345280136547481,13.0,Internet Data-,0
1526694924,345280146547482,10.0,Internet Data-,0
1526694925,345280156547483,14.0,Internet Data-,0
1526694926,345280166547484,13.0,Internet Data-,0
1526694927,345280176547485,10.0,Internet Data-,0
1526694928,345280186547486,14.0,Internet Data-,0
1526694929,345280196547487,13.0,Internet Data-,0
1526694930,345280206547488,10.0,Internet Data-,0
1526694931,345280216547489,14.0,Internet Data-,0
1526694932,345280226547490,13.0,Internet Data-,0
1526694933,345280236547491,10.0,Internet Data-,0
1526694934,345280246547492,14.0,Internet Data-,0
1526694935,345280256547493,13.0,Internet Data-,0
1526694936,345280266547494,10.0,Internet Data-,0
1526694937,345280276547495,14.0,Internet Data-222,0
1526694938,345280286547496,13.0,Internet Data-,0
1526694939,345280296547497,10.0,Internet Data-,0
1526694940,345280306547498,14.0,Internet Data-,0
1526694941,345280316547499,13.0,Internet Data-,0
1526694942,345280326547500,10.0,Internet Data-,0
1526694943,345280336547501,14.0,Internet Data-,0
1526694944,345280346547502,13.0,Internet Data-,0
1526694945,345280356547503,1.0,SMS-,0
1526694946,345280366547504,1.0,SMS-,0
1526694947,345280376547505,1.0,SMS-,0
1526694948,345280386547506,1.0,SMS-,0
1526694949,345280396547507,1.0,SMS-,0
1526694950,345280406547508,1.0,SMS-,0
1526694951,345280416547509,1.0,SMS-,0
1526694952,345280426547510,1.0,SMS-,0
1526694953,345280436547511,1.0,SMS-,0
1526694954,345280446547512,1.0,SMS-,0
1526694955,345280456547513,1.0,SMS-,0
1526694956,345280466547514,1.0,SMS-,0
1526694957,345280476547515,1.0,SMS-,0
1526694958,345280486547516,1.0,SMS-,0
1526694959,345280496547517,1.0,SMS-,0
1526694960,345280506547518,1.0,SMS-,0
1526694961,345280516547519,1.0,SMS-,0
1526694962,345280526547520,1.0,SMS-,0
1526694963,345280536547521,1.0,SMS-,0
1526694964,345280546547522,1.0,SMS-,0
1526694965,345280556547523,1.0,SMS-,0
1526694966,345280566547524,1.0,SMS-,0
1526694967,345280576547525,1.0,SMS-,Y
1526694968,345280586547526,1.0,SMS-,0
1526694969,345280596547527,1.0,SMS-,0
1526694970,345280606547528,1.0,SMS-,0
1526694971,345280616547529,1.0,SMS-,0
1526694972,345280626547530,1.0,SMS-,0
1526694973,345280636547531,1.0,SMS-,0
1526694974,345280646547532,1.0,SMS-,0
1526694975,345280656547533,2.0,Phone Call-,0
1526694976,345280666547534,0.0,SMS-,0
1526694977,345280676547535,10.0,Internet Data-,0
1526694978,345280686547536,1.0,Phone Call-111,0
1526694979,345280696547537,2.0,Phone Call-,0
1526694980,345280706547538,3.0,Phone Call-,0
1526694981,345280716547539,4.0,Phone Call-111,0
1526694982,345280726547540,5.0,Phone Call-,0
1526694983,345280736547541,12.0,Phone Call-,0
1526694984,345280746547542,11.0,Phone Call-,0
1526694985,345280756547543,10.0,Phone Call-,0
1526694986,345280766547544,2.0,Phone Call-,0
1526694987,345280776547545,22.0,Phone Call-,0
1526694988,345280786547546,25.0,Phone Call-,0
1526694989,345280796547547,1.0,Phone Call-,0
1526694990,345280806547548,3.0,Phone Call-,0
1526694991,345280816547549,4.0,Phone Call-,0
1526694992,345280826547550,5.0,Phone Call-,0
1526694993,345280836547551,8.0,Phone Call-,0
1526694994,345280846547552,7.0,Phone Call-,0
1526694995,345280856547553,9.0,Phone Call-,0
1526694996,345280866547554,10.0,Phone Call-,0
1526694997,345280876547555,11.0,Phone Call-,0
1526694998,345280886547556,3.0,Phone Call-,0
1526694999,345280896547557,3.0,Phone Call-,Y
1526695000,345280906547558,3.0,Phone Call-,0
1526695001,345280916547559,3.0,Phone Call-,0
1526695002,345280926547560,3.6,Phone Call-,0
1526695003,345280936547561,3.5,Phone Call-,0
1526695004,345280946547562,3.2,Phone Call-,0
1526695005,345280956547563,3.1,Phone Call-,0
1526695006,345280966547564,4.2,Phone Call-,0
1526695007,345280976547565,4.3,Phone Call-,0
1526695008,345280986547566,4.5,Phone Call-,0
1526695009,345280996547567,2.0,Phone Call-,0
1526695010,345281006547568,3.0,Phone Call-,0
1526695011,345281016547569,10.0,Internet Data-,0
1526695012,345281026547570,15.0,Internet Data-,0
1526695013,345281036547571,15.0,Internet Data-,0
1526695014,345281046547572,18.0,Internet Data-,0
1526695015,345281056547573,1.0,Internet Data-222,0
1526695016,345281066547574,13.0,Internet Data-,0
1526695017,345281076547575,11.0,Internet Data-,0
1526695018,345281086547576,1.0,Internet Data-222,0
1526695019,345281096547577,15.0,Internet Data-,0
1526695020,345281106547578,55.0,Internet Data-,0
1526695021,345281116547579,120.0,Internet Data-,0
1526695022,345281126547580,14.0,Internet Data-,0
1526695023,345281136547581,13.0,Internet Data-,0
1526695024,345281146547582,10.0,Internet Data-,0
1526695025,345281156547583,14.0,Internet Data-,0
1526695026,345281166547584,13.0,Internet Data-,0
1526695027,345281176547585,10.0,Internet Data-,0
1526695028,345281186547586,14.0,Internet Data-,0
1526695029,345281196547587,13.0,Internet Data-,0
1526695030,345281206547588,10.0,Internet Data-,0
1526695031,345281216547589,14.0,Internet Data-,0
1526695032,345281226547590,13.0,Internet Data-,0
1526695033,345281236547591,10.0,Internet Data-,0
