SubscriberIdentityNumber,Phone Number,Subscriber Name,SSN,Subscriber Age,State,Zip Code,SubscribedFromDate,Internet Service,SMS Service,Churn Status
345278656547333,1654788999,,214448881,25,,85005,,,,
345278666547334,1888777222,,214448882,15,,33130,,,,
345278676547335,1122765445,,214448883,45,,10005,,,,
345278696547337,1590741891,,214448885,15,,10007,,,,
345278726547340,1292706560,,214448888,78,,10010,,,,
345278736547341,1526694783,,214448889,55,,10011,,,,
345278746547342,1526694784,,214448890,44,,10012,,,,
345278756547343,1526694785,,214448891,33,,10013,,,,
345278766547344,1526694786,,214448892,22,,10014,,,,
345278776547345,1526694787,,214448893,45,,10015,,,,
345278796547347,1526694789,,214448895,44,,10017,,,,
345278806547348,1526694790,,214448896,33,,10018,,,,
345278826547350,1526694792,,214448898,22,,10020,,,,
345278836547351,1526694793,,214448899,34,,10021,,,,
345278846547352,1526694794,,214448900,35,,7039,,,,
345278856547353,1526694795,,214448901,36,,27565,,,,
345278866547354,1526694796,,214448902,37,,10005,,,,
345278876547355,1526694797,,214448903,38,,10006,,,,
345278886547356,1526694798,,214448904,39,,10007,,,,
345278896547357,1526694799,,214448905,40,,10008,,,,
345278906547358,1526694800,,214448906,25,,10009,,,,
345278916547359,1526694801,,214448907,26,,10010,,,,
345278926547360,1526694802,,214448908,27,,10011,,,,
345278936547361,1526694803,,214448909,28,,10012,,,,
345278946547362,1526694804,,214448910,29,,10013,,,,
345278956547363,1526694805,,214448911,30,,10014,,,,
345278966547364,1526694806,,214448912,31,,10015,,,,
345278976547365,1526694807,,214448913,32,,10016,,,,
345278986547366,1526694808,,214448914,33,,10017,,,,
345278996547367,1526694809,,214448915,34,,10018,,,,
345279006547368,1526694810,,214448916,35,,10019,,,,
345279016547369,1526694811,,214448917,36,,10020,,,,
345279026547370,1526694812,,214448918,37,,10021,,,,
345279036547371,1526694813,,214448919,38,,44102,,,,
345279046547372,1526694814,,214448920,39,,44103,,,,
345279056547373,1526694815,,214448921,40,,44104,,,,
345279066547374,1526694816,,214448922,41,,44105,,,,
345279076547375,1526694817,,214448923,42,,44106,,,,
345279086547376,1526694818,,214448924,43,,44107,,,,
345279096547377,1526694819,,214448925,44,,44108,,,,
345279106547378,1526694820,,214448926,33,,44109,,,,
345279116547379,1526694821,,214448927,23,,44110,,,,
345279126547380,1526694822,,214448928,78,,44111,,,,
345279136547381,1526694823,,214448929,68,,44112,,,,
345279146547382,1526694824,,214448930,57,,44113,,,,
345279156547383,1526694825,,214448931,25,,44114,,,,
345279166547384,1526694826,,214448932,15,,44115,,,,
345279176547385,1526694827,,214448933,45,,44116,,,,
345279186547386,1526694828,,214448934,62,,44117,,,,
345279196547387,1526694829,,214448935,15,,44118,,,,
345279206547388,1526694830,,214448936,33,,44119,,,,
345279216547389,1526694831,,214448937,22,,44120,,,,
345279226547390,1526694832,,214448938,78,,44121,,,,
345279236547391,1526694833,,214448939,55,,44122,,,,
345279246547392,1526694834,,214448940,44,,44123,,,,
345279256547393,1526694835,,214448941,33,,44124,,,,
345279266547394,1526694836,,214448942,22,,44125,,,,
345279276547395,1526694837,,214448943,45,,44126,,,,
345279286547396,1526694838,,214448944,54,,44127,,,,
345279296547397,1526694839,,214448945,44,,44128,,,,
345279306547398,1526694840,,214448946,33,,44129,,,,
345279316547399,1526694841,,214448947,67,,44130,,,,
345279326547400,1526694842,,214448948,22,,44131,,,,
345279336547401,1526694843,,214448949,34,,44132,,,,
345279346547402,1526694844,,214448950,35,,44133,,,,
345279356547403,1526694845,,214448951,36,,44134,,,,
